Secteur,"Emploi <br><i style=""font-size:80%;"">May 2023</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,6,60,Taux de croissance annuelle,Taux de ch̫mage
Services d'h̩bergement et de restauration,229.0,277.6,285.1,287.2,270.6,272.0,261.3,266.5,252.0,252.6,244.0,246.9,257.5,257.4,269.9,279.0,277.8,267.2,255.0,261.0,238.6,241.4,186.8,118.5,117.2,175.2,226.3,218.7,224.3,177.1,159.8,154.9,149.9,159.7,170.9,162.1,162.5,190.8,204.1,214.5,191.4,181.4,188.7,190.8,147.9,178.7,192.0,188.0,188.4,196.6,222.4,228.0,224.6,228.6,225.9,227.0,226.3,226.1,231.4,228.9,261.3,229.0,-3.776044824372393,5.567010309278353
Agriculture,57.4,60.0,58.3,56.1,54.7,56.7,55.7,54.6,47.0,52.9,54.2,57.4,60.0,63.1,57.2,58.9,57.0,51.3,50.8,50.6,52.7,51.7,48.0,50.2,53.4,54.4,54.4,56.5,55.8,55.5,61.0,57.0,56.1,59.1,63.2,59.0,61.2,63.0,63.0,57.0,55.9,52.9,50.1,47.1,50.4,51.4,49.7,51.8,54.4,58.1,56.9,58.1,61.7,62.6,59.8,59.8,52.1,49.0,51.9,52.6,55.7,57.4,-0.8820917184015453,2.3809523809523836
"Services aux entreprises, services relatifs aux b̢timents et autres services de soutien",176.5,205.2,203.8,200.0,198.1,192.6,188.3,188.0,180.0,195.1,191.4,185.3,185.2,182.8,186.3,182.0,174.3,170.9,165.6,157.2,162.6,164.5,152.0,137.5,141.9,178.1,164.1,180.1,166.7,160.1,158.0,144.9,146.1,151.3,152.7,145.4,156.7,171.8,164.9,170.8,165.9,154.8,166.3,161.7,156.8,158.0,153.9,155.5,178.5,184.8,187.7,179.4,177.1,179.2,175.5,166.5,165.6,171.2,178.4,169.6,188.3,176.5,-2.9683379039531887,2.7012127894156635
Construction,320.0,264.7,260.2,259.5,264.8,263.5,262.4,249.6,231.4,221.3,224.1,244.3,261.3,275.6,285.6,287.5,295.8,285.2,293.1,271.1,249.7,248.9,243.7,148.5,244.2,282.4,286.2,293.8,309.0,299.0,291.5,268.2,256.1,266.8,263.9,273.2,289.1,296.9,299.8,301.0,303.4,300.2,289.7,276.8,252.6,268.2,271.4,272.5,299.4,306.4,320.5,312.4,310.1,317.1,315.9,301.6,286.3,296.5,290.2,299.1,262.4,320.0,3.867387293165736,3.7014745711706376
L'̩conomie num̩rique,546.0999999999999,470.00000000000006,468.5,457.1,450.69999999999993,437.9,439.6,459.6,443.2000000000001,450.7000000000001,441.5999999999999,448.4,462.4,469.0,480.4,473.7000000000001,459.6,451.6,432.2,451.0,445.0,457.6,468.1,423.3,462.4,470.1,505.5,497.3,518.5,500.5,500.2000000000001,497.9,499.5,466.69999999999993,448.0,461.8,478.9,493.80000000000007,504.6,510.2000000000001,525.2,526.4000000000001,568.4000000000001,539.4,543.7,548.0,543.0,539.5,548.0999999999999,563.5,548.4000000000001,546.9000000000001,533.5999999999999,516.9000000000001,524.3,514.3,517.0,519.8,532.5,535.3,439.6,546.0999999999999,3.046883974058945,3.686067019400374
Services d'enseignement,350.2,280.4,237.3,229.8,279.2,284.3,298.3,296.3,291.0,294.9,293.6,294.9,293.6,290.0,242.8,241.0,296.8,301.2,309.4,306.9,310.1,320.2,256.2,267.1,295.1,302.1,257.8,250.6,336.4,357.5,367.0,360.2,348.5,371.8,371.9,380.0,374.0,374.6,297.2,296.1,350.9,365.0,362.9,363.4,361.6,363.7,374.3,362.2,360.3,352.5,278.3,270.8,329.2,336.2,341.6,339.9,347.8,356.0,345.6,351.8,298.3,350.2,4.5460494491965875,0.8493771234428071
Finance et assurances,211.3,183.0,184.7,182.2,181.2,176.2,175.7,182.2,172.7,166.3,167.2,175.6,186.3,181.9,191.0,203.0,188.6,188.3,176.6,184.0,179.5,182.1,176.1,179.5,191.9,194.4,194.1,199.9,198.1,197.3,199.6,198.7,211.7,208.6,202.5,201.1,207.8,220.1,226.2,227.9,232.8,225.7,224.8,223.9,219.7,226.4,221.8,225.6,228.8,219.7,212.7,214.7,204.2,207.8,222.4,220.0,224.6,216.6,214.4,224.4,175.7,211.3,2.9176074394342555,1.4918414918414835
"Foresterie, p̻che et chasse",13.4,20.9,19.6,20.2,19.6,16.2,14.3,12.5,13.3,14.4,15.4,14.9,16.0,20.2,18.3,16.4,15.2,14.5,12.8,12.7,10.5,11.5,9.0,11.0,12.4,15.1,22.3,21.7,20.0,13.6,16.6,14.2,11.8,10.9,11.1,15.0,15.0,19.8,19.0,16.4,17.9,16.0,16.1,14.0,11.6,11.3,11.5,11.0,12.2,13.9,16.6,12.7,15.7,12.2,11.1,10.3,11.7,11.6,9.9,9.6,14.3,13.4,-8.506192208162567,16.249999999999996
Soins de sant̩ et assistance sociale,585.5,577.4,593.8,588.4,583.3,588.4,587.7,589.3,601.7,597.1,593.1,594.9,598.3,609.9,608.2,614.2,604.7,608.7,612.2,609.9,609.2,599.5,571.7,535.8,558.3,594.9,592.5,585.4,574.5,583.6,583.8,570.5,564.7,564.2,569.8,579.6,579.4,587.7,595.0,583.0,584.2,587.1,590.6,581.2,588.6,586.2,598.6,582.2,597.7,609.1,611.0,617.5,614.3,623.6,612.8,594.4,603.2,597.4,588.8,587.3,587.7,585.5,0.27900681773767033,1.148066858011132
