Secteur,"Emploi <br><i style=""font-size:80%;"">Juillet 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,7400.0,5.2,4.9,4.8,4.3,3.3,3.8,3.4,3.5,3.6,3.8,4.8,5.5,5.7,5.1,5.1,4.4,4.4,3.5,4.2,4.2,4.4,4.9,6.3,7.0,7.8,4.3,3.5,3.8,3.6,3.4,4.4,4.3,5.1,5.6,6.4,6.7,7.3,7.1,5.8,5.0,4.9,5.0,5.0,5.2,5.2,5.6,6.8,8.2,7.1,6.5,5.6,4.6,5.6,5.3,5.4,5.4,5.5,6.0,6.6,7.4,7.311354150601401,6.329113924050633
Agriculture,3700.0,4.2,3.6,4.1,3.3,2.8,2.7,2.9,2.7,3.2,3.4,3.4,3.5,3.4,3.2,4.0,4.0,3.3,3.1,2.9,2.9,2.9,3.4,3.8,3.4,3.3,3.3,4.1,3.3,2.9,2.5,2.4,2.5,3.5,4.4,4.4,4.8,5.2,4.8,6.2,4.6,3.8,2.9,3.3,3.2,3.8,4.5,4.3,4.3,4.5,4.2,4.6,3.8,3.2,2.9,2.6,2.8,4.3,3.4,3.9,3.7,-2.50317192989834,2.631578947368407
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",2400.0,2.6,2.4,2.4,2.4,2.5,2.4,2.2,2.0,2.3,2.3,2.3,2.9,3.2,2.8,2.5,2.4,2.0,1.7,1.6,1.9,1.8,2.5,3.0,3.3,2.6,2.5,2.4,2.4,2.8,2.2,2.2,2.6,2.3,1.9,1.8,2.2,1.8,1.3,1.6,1.1,1.7,2.2,2.1,2.2,1.9,2.4,2.4,2.4,2.5,2.4,2.1,3.0,2.6,2.3,2.4,2.2,2.2,2.0,2.4,2.4,-1.5881085866475741,4.0000000000000036
Construction,10700.0,6.9,6.4,5.7,5.8,5.7,5.5,5.2,5.6,5.4,5.5,5.6,6.0,5.7,6.1,6.3,6.2,6.5,6.7,6.7,6.7,6.6,7.7,7.9,8.1,7.7,6.9,7.5,7.1,6.8,6.3,6.5,6.8,6.8,7.4,7.7,8.6,9.0,8.7,8.4,8.4,8.1,7.4,7.2,7.5,8.0,8.4,9.6,9.5,9.9,10.5,9.9,10.0,9.4,9.0,9.1,8.6,9.1,9.5,10.5,10.7,9.17091175549487,6.956521739130439
L'économie numérique,6000.0,5.3,4.8,4.7,5.3,4.9,5.799999999999999,5.800000000000001,6.000000000000001,6.1,6.199999999999999,6.9,6.0,6.200000000000001,5.2,4.5,5.299999999999999,6.1000000000000005,6.199999999999999,6.300000000000001,7.1000000000000005,7.300000000000001,7.399999999999999,7.3,6.999999999999999,7.3,7.3,6.8,5.8,6.700000000000001,5.3,6.3,4.9,5.0,6.1,6.0,7.300000000000001,7.1000000000000005,6.7,6.6,6.5,6.199999999999999,6.299999999999999,6.4,6.9,6.4,5.5,5.799999999999999,6.5,6.9,6.5,6.3,7.399999999999999,6.799999999999999,6.800000000000002,6.8,6.9,8.200000000000001,7.7,6.9,6.0,2.512087219852699,11.764705882352944
Services d'enseignement,4900.0,4.3,6.0,5.9,6.2,6.5,6.5,6.6,6.6,6.3,6.6,6.8,4.9,4.8,6.0,5.9,5.8,6.1,5.7,5.9,5.8,5.9,6.2,6.4,4.5,4.8,5.8,5.8,6.1,6.3,6.2,6.3,6.8,7.1,6.4,6.0,4.1,4.5,6.3,6.9,7.2,7.5,7.3,7.1,7.3,7.0,7.3,7.1,4.9,4.8,6.4,6.5,6.6,6.6,6.6,6.4,6.2,6.1,6.1,6.6,4.9,2.646826009095271,9.259259259259256
Finance et assurances,2700.0,2.7,2.5,2.5,2.3,2.1,2.1,1.9,2.1,1.9,2.0,1.8,1.7,1.8,2.0,1.5,1.7,1.8,1.5,1.6,1.7,1.7,2.1,2.0,1.9,1.8,1.5,1.8,1.7,1.9,1.9,1.9,2.3,2.2,2.6,2.5,2.9,3.0,2.2,2.4,2.5,2.7,2.5,2.4,2.7,2.2,2.3,2.6,2.7,2.7,2.2,2.2,1.8,1.7,1.9,1.7,2.4,2.2,2.5,2.6,2.7,0.0,0.0
"Foresterie, pêche et chasse",2000.0,3.0,3.0,2.3,2.1,2.4,2.4,2.1,2.2,2.4,4.3,4.5,3.3,2.8,2.8,2.1,1.8,1.4,1.5,1.6,1.4,1.8,4.5,4.1,2.1,2.3,2.2,2.0,1.4,1.2,1.8,1.6,1.5,1.2,3.2,3.5,2.0,1.7,1.8,1.6,1.0,1.1,1.1,0.8,0.9,1.8,4.0,3.9,1.7,2.5,2.3,1.9,1.9,1.6,1.6,1.3,1.9,1.7,3.1,3.4,2.0,-7.7892088518272224,45.94594594594595
Soins de santé et assistance sociale,16800.0,10.9,10.4,10.3,10.6,10.9,10.6,10.7,10.5,10.5,11.5,12.1,12.5,12.1,11.7,11.4,11.6,12.0,11.6,11.6,11.4,11.2,11.7,12.5,11.9,12.3,12.0,12.8,12.7,12.6,13.1,13.8,14.7,14.2,15.0,14.8,14.9,14.8,15.3,14.6,15.2,14.6,14.2,14.8,14.5,14.4,14.1,13.9,14.5,15.2,14.2,15.0,14.6,14.7,14.8,15.2,15.5,15.4,16.3,16.5,16.8,9.037668535422583,1.17647058823529
Secteur des technologies de l'information et des communications,2600.0,2.1,2.5,2.1,1.7,2.0,2.3,2.1,2.4,2.3,2.3,2.2,2.1,2.1,2.0,1.7,2.1,2.7,2.8,2.5,2.8,2.7,2.9,3.0,2.9,2.7,2.9,3.4,2.4,2.7,1.7,1.9,1.9,1.9,2.3,2.1,3.0,2.7,2.7,2.9,2.9,2.3,2.7,2.6,2.7,2.0,2.0,1.9,2.5,2.5,2.8,2.5,3.0,2.7,2.7,2.8,2.5,3.7,3.1,2.7,2.6,4.364022715043592,23.529411764705877
