Secteur,"Emploi <br><i style=""font-size:80%;"">Décembre 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,5900.0,3.8,3.4,3.5,3.6,3.8,4.8,5.5,5.7,5.1,5.1,4.4,4.4,3.5,4.2,4.2,4.4,4.9,6.3,7.0,7.8,4.3,3.5,3.8,3.6,3.4,4.4,4.3,5.1,5.6,6.4,6.7,7.3,7.1,5.8,5.0,4.9,5.0,5.0,5.2,5.2,5.6,6.8,8.2,7.1,6.5,5.6,4.6,5.6,5.3,5.4,5.4,5.5,6.0,6.6,7.4,7.8,7.3,6.4,6.3,5.9,9.197748266052352,13.235294117647056
Agriculture,2900.0,2.7,2.9,2.7,3.2,3.4,3.4,3.5,3.4,3.2,4.0,4.0,3.3,3.1,2.9,2.9,2.9,3.4,3.8,3.4,3.3,3.3,4.1,3.3,2.9,2.5,2.4,2.5,3.5,4.4,4.4,4.8,5.2,4.8,6.2,4.6,3.8,2.9,3.3,3.2,3.8,4.5,4.3,4.3,4.5,4.2,4.6,3.8,3.2,2.9,2.6,2.8,4.3,3.4,3.9,3.7,3.7,3.8,3.9,2.4,2.9,1.4394408739590414,19.444444444444454
Construction,9000.0,5.5,5.2,5.6,5.4,5.5,5.6,6.0,5.7,6.1,6.3,6.2,6.5,6.7,6.7,6.7,6.6,7.7,7.9,8.1,7.7,6.9,7.5,7.1,6.8,6.3,6.5,6.8,6.8,7.4,7.7,8.6,9.0,8.7,8.4,8.4,8.1,7.4,7.2,7.5,8.0,8.4,9.6,9.5,9.9,10.5,9.9,10.0,9.4,9.0,9.1,8.6,9.1,9.5,10.5,10.7,10.6,9.4,9.8,9.6,9.0,10.35092145999348,4.255319148936176
L'économie numérique,8500.0,5.799999999999999,5.800000000000001,6.000000000000001,6.1,6.199999999999999,6.9,6.0,6.200000000000001,5.2,4.5,5.299999999999999,6.1000000000000005,6.199999999999999,6.300000000000001,7.1000000000000005,7.300000000000001,7.399999999999999,7.3,6.999999999999999,7.3,7.3,6.8,5.8,6.700000000000001,5.3,6.3,4.9,5.0,6.1,6.0,7.300000000000001,7.1000000000000005,6.7,6.6,6.5,6.199999999999999,6.299999999999999,6.4,6.9,6.4,5.5,5.799999999999999,6.5,6.9,6.5,6.3,7.399999999999999,6.799999999999999,6.800000000000002,6.8,6.9,8.200000000000001,7.7,6.9,6.0,7.2,7.1,7.7,6.7,8.5,7.943920234636304,6.59340659340657
Services d'enseignement,6700.0,6.5,6.6,6.6,6.3,6.6,6.8,4.9,4.8,6.0,5.9,5.8,6.1,5.7,5.9,5.8,5.9,6.2,6.4,4.5,4.8,5.8,5.8,6.1,6.3,6.2,6.3,6.8,7.1,6.4,6.0,4.1,4.5,6.3,6.9,7.2,7.5,7.3,7.1,7.3,7.0,7.3,7.1,4.9,4.8,6.4,6.5,6.6,6.6,6.6,6.4,6.2,6.1,6.1,6.6,4.9,5.1,6.2,6.5,6.6,6.7,0.6079475350011743,0.0
Finance and insurance,3300.0,2.1,1.9,2.1,1.9,2.0,1.8,1.7,1.8,2.0,1.5,1.7,1.8,1.5,1.6,1.7,1.7,2.1,2.0,1.9,1.8,1.5,1.8,1.7,1.9,1.9,1.9,2.3,2.2,2.6,2.5,2.9,3.0,2.2,2.4,2.5,2.7,2.5,2.4,2.7,2.2,2.3,2.6,2.7,2.7,2.2,2.2,1.8,1.7,1.9,1.7,2.4,2.2,2.5,2.6,2.7,2.7,3.0,3.0,2.9,3.3,9.460878422315755,0.0
Forestry and fishing,1700.0,2.4,2.1,2.2,2.4,4.3,4.5,3.3,2.8,2.8,2.1,1.8,1.4,1.5,1.6,1.4,1.8,4.5,4.1,2.1,2.3,2.2,2.0,1.4,1.2,1.8,1.6,1.5,1.2,3.2,3.5,2.0,1.7,1.8,1.6,1.0,1.1,1.1,0.8,0.9,1.8,4.0,3.9,1.7,2.5,2.3,1.9,1.9,1.6,1.6,1.3,1.9,1.7,3.1,3.4,2.0,3.1,2.2,1.9,1.6,1.7,-6.6643543766876645,32.00000000000001
Soins de santé et assistance sociale,16300.0,10.6,10.7,10.5,10.5,11.5,12.1,12.5,12.1,11.7,11.4,11.6,12.0,11.6,11.6,11.4,11.2,11.7,12.5,11.9,12.3,12.0,12.8,12.7,12.6,13.1,13.8,14.7,14.2,15.0,14.8,14.9,14.8,15.3,14.6,15.2,14.6,14.2,14.8,14.5,14.4,14.1,13.9,14.5,15.2,14.2,15.0,14.6,14.7,14.8,15.2,15.5,15.4,16.3,16.5,16.8,16.4,16.0,16.2,17.0,16.3,8.987413962369374,2.39520958083832
Secteur des technologies de l'information et des communications,2400.0,2.3,2.1,2.4,2.3,2.3,2.2,2.1,2.1,2.0,1.7,2.1,2.7,2.8,2.5,2.8,2.7,2.9,3.0,2.9,2.7,2.9,3.4,2.4,2.7,1.7,1.9,1.9,1.9,2.3,2.1,3.0,2.7,2.7,2.9,2.9,2.3,2.7,2.6,2.7,2.0,2.0,1.9,2.5,2.5,2.8,2.5,3.0,2.7,2.7,2.8,2.5,3.7,3.1,2.7,2.6,2.5,2.4,2.4,2.6,2.4,0.8548252303932413,11.111111111111116
"Information, culture et loisirs",2100.0,2.0,2.0,2.3,2.2,2.6,3.2,3.6,3.3,2.1,2.0,2.1,2.5,1.9,1.9,2.1,2.1,4.0,3.6,4.4,4.3,3.2,2.9,2.4,2.5,2.2,2.3,2.0,2.1,2.7,3.2,4.8,5.0,3.3,2.9,2.6,2.3,2.5,2.4,2.9,2.4,3.1,3.3,3.9,3.6,2.5,2.8,2.4,2.2,1.4,1.7,1.1,1.4,2.0,2.7,3.9,3.8,3.0,2.3,1.7,2.1,0.9805797673485328,8.695652173913038
