Sector,"Employment <br><i style=""font-size:80%;"">June 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Annual Growth Rate,Unemployment Rate
Accommodation and Food Services,192700.0,208.1,211.2,192.4,191.5,193.1,187.1,174.2,176.7,177.9,154.5,165.6,183.1,190.2,202.1,191.8,181.4,181.1,173.2,170.4,167.3,173.2,184.4,186.2,189.2,190.4,195.2,190.7,186.3,187.4,187.1,187.7,188.4,194.4,206.5,203.5,204.2,214.4,214.3,195.2,193.6,185.0,181.4,179.1,174.2,174.2,183.0,189.9,191.9,197.0,195.9,179.3,185.6,197.3,192.2,186.3,185.0,191.3,184.7,177.6,192.7,-1.5259211766059044,4.886475814412639
Construction,268700.0,228.2,231.7,220.4,214.5,218.3,230.5,226.6,224.3,228.8,230.5,230.6,224.7,245.0,245.1,235.1,232.8,215.7,215.7,210.5,219.1,222.0,229.9,240.6,244.6,246.3,254.3,245.6,245.7,244.4,246.9,250.6,249.2,249.0,247.8,241.5,239.8,222.0,222.5,227.9,235.1,234.7,230.2,227.6,236.5,238.9,243.5,243.1,250.8,262.4,256.9,249.5,246.2,255.6,250.4,252.0,250.6,254.0,256.2,268.1,268.7,3.3214292766855946,4.069975008925397
Digital Economy,371499.9999999999,264.80000000000007,274.0,283.5,310.9,313.0,313.3,322.7,321.6,317.29999999999995,343.2,325.1,325.0,332.3,334.2,338.70000000000005,348.9,342.2,339.2,352.8,351.3,339.80000000000007,329.5,330.9,345.90000000000003,340.19999999999993,352.6,345.1,345.5,338.9,320.4,326.79999999999995,315.40000000000003,329.5,308.9,319.5,327.80000000000007,337.0,344.29999999999995,348.1,344.49999999999994,341.1,353.4,339.6,338.5,333.1,342.7,342.40000000000003,361.8,347.4,345.9,343.6,368.5,363.0,365.7000000000001,357.6,362.8,372.6,353.9,378.5,371.4999999999999,7.006009240070488,3.40613624544982
Educational Services,229400.0,133.3,128.4,179.2,191.2,195.1,196.9,190.4,200.1,196.2,193.4,189.5,188.0,159.2,146.0,190.4,190.6,195.9,196.7,200.3,208.4,195.1,196.3,194.0,197.1,167.8,162.8,212.2,212.3,220.8,222.4,221.6,222.8,221.2,226.7,226.7,222.8,181.0,185.8,235.3,233.8,234.8,231.9,231.6,237.4,226.2,233.5,224.3,221.1,178.2,180.9,222.9,227.6,226.3,230.5,234.6,237.9,232.9,231.2,235.1,229.4,11.468627265287811,1.6716673810544425
Health Care and Social Assistance,421100.0,324.5,313.3,321.2,335.8,331.0,333.8,338.6,338.8,349.1,344.9,344.2,351.1,356.5,357.7,355.2,361.7,366.1,374.2,371.0,374.8,372.3,369.1,378.7,372.5,369.9,373.3,376.3,373.5,371.1,366.5,366.3,376.5,370.4,366.1,375.5,385.2,392.3,385.2,384.3,388.3,397.1,408.6,407.3,407.7,417.6,415.5,415.4,405.5,411.5,405.4,405.4,408.0,406.9,413.4,403.3,408.2,414.8,414.5,423.2,421.1,5.349895233969293,1.6810646742937196
Manufacturing,187300.0,171.2,172.9,179.2,181.8,175.2,181.9,174.5,167.2,175.7,187.7,180.3,183.9,176.6,191.9,191.9,193.8,206.1,198.7,195.1,196.9,191.3,192.6,184.3,193.2,185.9,182.6,176.4,187.6,181.3,183.9,176.5,180.2,178.6,176.0,175.4,179.0,174.5,171.3,167.8,168.5,183.5,182.7,172.9,174.7,180.9,173.2,179.0,184.1,184.5,180.3,180.3,178.5,173.2,181.9,185.9,187.1,192.3,188.8,186.3,187.3,1.8138366821086827,2.4479166666666607
"Mining, Quarrying, Oil and Gas",25200.0,17.3,23.4,21.9,26.2,29.9,28.8,28.5,29.2,30.3,28.2,30.7,30.3,29.8,26.0,25.4,28.3,27.0,26.4,28.9,27.3,24.8,24.2,23.8,25.5,27.4,25.9,27.7,34.4,34.0,33.9,32.1,31.2,30.5,31.3,34.8,32.7,35.3,40.9,42.6,38.8,37.2,36.1,33.6,34.5,33.7,30.8,34.0,34.1,38.9,39.3,43.8,44.4,39.5,35.4,33.1,33.9,27.5,23.4,23.8,25.2,7.812939591825496,5.263157894736848
Other Services,111900.0,95.4,103.9,103.5,105.2,110.5,104.3,107.4,113.7,106.9,108.2,112.8,114.4,119.2,113.5,107.7,103.3,103.1,100.9,100.2,98.9,101.9,101.4,103.2,104.6,101.4,104.4,102.1,101.2,102.2,102.8,105.4,106.9,105.6,110.4,110.4,107.5,111.1,114.2,118.7,118.2,117.2,115.8,121.9,123.3,125.5,122.9,118.7,116.6,120.0,121.5,118.0,120.8,112.1,108.6,107.3,113.0,104.9,113.2,107.7,111.9,3.241984138080345,0.6216696269982114
"Professional, Scientific and Technical Services",322600.0,250.0,247.6,246.0,251.4,247.3,249.5,256.3,260.3,266.0,272.3,268.3,280.7,275.6,268.4,263.4,259.2,266.4,263.9,258.4,277.7,285.4,288.7,285.1,289.7,287.4,282.8,291.6,294.5,285.0,283.8,274.1,275.5,276.8,273.4,282.8,289.5,295.9,296.8,302.8,312.6,293.7,295.1,292.8,300.8,298.2,304.2,311.4,299.5,293.9,293.3,295.9,299.7,303.1,307.9,312.8,309.6,310.8,306.9,321.0,322.6,5.23128431906168,2.772754671488842
"Total, All Industries",3002800.0,2527.0,2531.5,2594.2,2632.8,2637.0,2625.7,2602.4,2633.5,2662.9,2632.5,2657.4,2717.9,2718.1,2716.8,2717.1,2717.5,2726.3,2704.8,2681.4,2725.0,2735.0,2751.0,2792.7,2802.9,2805.1,2794.8,2811.6,2810.3,2800.6,2798.2,2770.6,2796.3,2810.4,2816.1,2853.6,2867.4,2852.0,2863.9,2884.0,2887.9,2883.3,2890.0,2861.8,2887.9,2906.7,2928.3,2943.6,2952.9,2930.7,2918.6,2903.6,2916.7,2905.1,2912.8,2904.1,2918.7,2937.5,2951.3,2978.9,3002.8,3.5104586801760984,5.5396520809084855
Wholesale and Retail Trade,443400.0,397.6,399.5,395.8,398.9,402.6,391.7,384.7,394.3,393.1,383.2,391.5,402.9,400.2,407.2,398.4,418.4,432.8,429.8,426.6,432.3,438.3,445.5,450.5,439.7,454.3,433.2,429.8,431.7,432.3,427.8,431.7,435.7,441.9,447.6,445.9,438.5,449.2,446.3,436.5,434.8,443.5,444.8,428.1,424.0,432.6,422.4,421.4,435.7,421.9,427.7,428.2,428.5,435.6,436.2,432.5,430.1,425.4,431.9,436.0,443.4,2.20446344724583,2.8057869355545884
Transportation and Warehousing,157500.0,132.8,134.6,138.9,135.9,144.6,140.8,141.6,144.6,143.7,137.1,147.9,147.2,148.5,149.6,150.2,149.1,146.2,142.6,143.1,141.8,147.0,143.6,143.8,146.2,150.4,149.6,141.9,139.7,140.5,143.6,135.4,132.0,141.8,137.8,147.9,144.8,143.2,157.1,157.4,155.3,154.3,154.5,153.6,151.2,151.2,156.9,158.3,157.2,158.6,163.8,160.7,152.2,152.7,157.7,158.3,157.0,166.6,169.0,164.9,157.5,3.4704878224574243,4.138770541692038
