Secteur,Emploi,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,growth_rate,Taux_de_chômage,suffix
,"<span style=""font-size:80%;"">_janv. 2022_</span>","<span style=""font-size:80%;"">_janv. 2017_</span>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<span style=""font-size:80%;"">_22_</span>","<span style=""font-size:90%;"">^taux de croissance annuelle^</span>",,
Ensemble des industries,208800,213600,212100,213000,218700,228600,233700,232300,228700,225800,226500,223700,220500,211900,211600,211400,217700,228300,233200,235800,235700,231800,227900,224200,223400,219300,218400,218300,223100,231000,234500,238500,236800,231700,229900,224900,217400,213100,214300,207000,184000,201700,211900,219100,224700,222600,225800,224900,219600,211200,195800,207800,212000,220800,231200,233200,230300,227100,222800,228400,221000,208800,-.4535334,14.285714,
L'économie numérique,15000,13600,15100,16600,14700.001,15400,15100,14200.001,13800,11599.999,11600,10500,11599.999,11300,12300,11800,12799.999,13700,12800,13300,13700,15300,15400,14299.999,15400,15600,15700.001,13400,13100,12000,13600,13799.999,12500,14600,14800,14000,14900,12900.001,13300,12800,10599.999,11300,14900,13200,17700,16200.001,14299.999,14000,13500,14300.001,14200.001,14600,14700,19600,17900,15900,14900,15100,16400,14600,16000,15000,1.978936,9.6385546,
Fabrication,8700,6400,6600,6200,7600,11400,12000,11700,10400,10000,9200,9200,9200,8300,6600,7800,9400,10600,10700,10900,10300,8500,9300,8600,8800,7200,8100.0005,7500,8600,10100,10600,11800,10700,9900,9200,8300,8600,7800,7400,7300,6000,8900,9900,8800,9600,10900,10400,9300,7500,7400,6400,7900,11400,12900,13200,14600,12700,9500,10600,12000,8900,8700,6.332948,20.90909,
Services publics,1100,2900,2900,2700,2700,2800,2400,2900,3100,3500,3400,3500,3400,3300,3200,2900,3300,3600,3000,3200,3100,3100,3000,3200,3100,2600,2300,2500,2400,2700,2700,2900,3000,3200,2700,2500,2700,2300,2300,2200,2200,2500,2400,2600,2700,3100,2900,2900,2900,2900,2500,2600,2200,1900,2000,1600,1700,1600,1600,1300,1400,1100,-17.62433,26.666666,
Construction,12900,17300,16400,17400,18500,20400,23400,23600,24900,23300,25200,22100,18500,17700,19500,16600,17200,20200,21600,21900,22500,23400,23500,20500,17900,16400,16600,15900,17600,18200,20500,22300,23300,22900,22100,20900,17500,15700,15300,15000,12000,12100,15300,16800,16700,18500,20000,19100,15000,13600,11200,13100,11600,15300,18100,18500,19000,19300,20200,18400,16400,12900,-5.700645,37.378639,
Agriculture,1100,500,1200,1200,1300,1400,1800,1900,2000,1800,2800,2400,2700,2000,900,1600,1600,1800,1600,1300,1600,1800,1600,1300,900,700,900,1700,1600,1400,1500,1800,1100,1100,900,1500,1400,1200,1500,1700,1500,700,2000,1500,800,900,1100,1000,1400,700,900,,900,1300,2500,2700,2000,1500,800,700,500,1100,17.08049,0,
Autres services,7100,10500,12000,11300,11700,11300,11200,10900,10300,11400,11800,11100,10800,11300,11800,11800,12100,11300,11100,9300,9400,9100,9600,8600,8000,7500,8700,9300,9800,9500,10500,11000,11300,11800,11800,11600,11700,11400,12200,11600,9000,9000,10600,10400,11500,9500,9400,8700,7500,8800,7300,7500,8500,8100.0005,8100.0005,8200,7900,8000,7100,8100.0005,7200,7100,-7.527242,15.476191,
Services d'hébergement et de restauration,11200,13000,11900,12200,11900,13600,15000,16000,15600,17100,15100,15000,15100,14600,14000,14000,14800,16400,17500,18100,17800,16800,14600,14500,14900,15400,15400,16600,16100,18200,18100,19800,19100,16500,16600,16200.001,16700,16000,16800,14400,12300,13800,17200,17100,17500,16100,15200,15600,15200,13000,10200,10300,10900,10800,12500,13300,13600,13400,11000,12000,11300,11200,-2.936726,5.0847459,
Administrations publiques,19800,13900,14700,14400,14200,14700,14500,14300,14100,13900,13500,14400,15600,14700,14600,14800,15600,15300,16100,18400,19000,17200,16700,16800,17100,17600,17700,17700,17600,18300,18300,18500,18900,18300,17900,18000,17800,17400,16000,15200,14400,16600,16200.001,18300,18600,17600,17700,18900,18300,18300,18000,18700,18600,20200,20600,22300,21700,20300,18900,19500,20000,19800,7.332212,7.4766355,
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",6600,6200,6200,5700,6500,7300,7500,8700,8200,6800,6800,6900,5800,5800,5700,5700,5600,5900,5600,6100,6500,7000,6600,6200,6500,7100,6900,6800,7200,7500,8500,8200,8000,8800,8300,7400,6000,7100,6800,6900,6400,6300,7200,7800,7400,5700,5700,5600,5400,6000,6600,6900,8000,7500,7800,6800,6700,7300,6500,6600,6000,6600,1.258257,17.5,
Soins de santé et assistance sociale,42400,39600,38500,40100,41700,41400,40300,40500,40300,38800,38800,38000,37400,37600,38200,39100,39700,39900,40200,41300,40700,40100,39100,40400,40500,40800,40100,40400,40400,40600,39600,40200,39900,38000,39200,38300,38500,37800,37900,38700,37700,38200,37600,40000,42100,42000,42800,42300,44400,44000,43600,44600,43900,44800,44900,44600,44900,41700,40800,42900,44100,42400,1.375763,2.7522936,
Commerce de gros et de détail,36600,41000,40700,41000,41100,41900,41500,41800,41100,38800,38700,39400,39800,37900,37100,36400,36500,38500,37600,37500,38100,37800,38300,38400,38900,36200,35300,34300,35600,36700,35800,35500,35300,36100,36900,38100,37200,35700,36200,33300,29800,32400.002,34900,32800,33900,34700,38100,36700,37900,35200,32400.002,36900,36800,34500,37500,37700,37100,37700,37700,39300,37800,36600,-2.244895,7.1065989,
Services immobiliers et services de location et de location à bail,2000,1400,1400,1800,1700,1100,1800,2000,2000,1800,2900,2500,2600,2000,1400,1800,1900,2300,2700,2600,3000,2200,2500,2200,2300,3400,3000,3300,3200,3200,3200,3400,3000,2800,2600,1600,2000,2100,1600,2200,1300,1900,2300,3400,2400,2100,2100,1500,1300,1700,2000,1800,1800,1900,1700,1800,1600,1800,1900,1900,1900,2000,7.394092,0,
"Foresterie, pêche et chasse",2400,2500,1400,2000,3900,6100,5800,5400,4400,5400,4300,4100,3800,2600,3300,3500,4200,7100,6900,6200,5400,4900,3800,3900,5100,4400,3300,2800,4500,6900,6700,6200,6400,5000,5200,3700,3000,3100,3100,3600,2400,6000,5600,6100,6000,3300,3000,3500,3000,3600,2100,3000,5200,6800,5300,4500,4000,3500,3500,3400,3900,2400,-.8131161,41.463413,
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",10000,9300,9500,8800,8200,7800,9100,8000,7900,7500,7700,7300,7700,7100,7100,8100.0005,7800,7300,7600,8600,8900,9500,9600,9600,9800,10000,10100,10000,9900,9800,9400,9300,9200,9700,9700,9100,8400,8300,9500,8500,6800,8800,8100.0005,7900,9300,9300,9300,8700,9200,8200,8900,8200,7400,8200,9500,9700,9600,10700,11600,11700,10500,10000,1.461998,17.355371,
Transport et entreposage,8800,10500,10400,11000,10400,10900,11400,11900,11900,10900,11100,12200,12500,11900,11900,11600,10900,11100,11800,12900,12400,12100,11700,12000,12200,12400,12100,11900,11800,12200,12500,12000,12000,11300,10200,10800,10600,10900,10800,10900,8300,9200,8400,10700,10300,9500,9400,10200,9100,8000,8200,8300,7900,7300,8400,9200,9400,9300,9100,9000,8700,8800,-3.470807,16.190475,
Secteur des technologies de l'information et des communications,5300,3800,4800,4900,4400,4000,4300,3800,3700,3100,3100,3400,3800,4300,5000,5100,5800,5700,5100,5000,5200,6000,6100,6000,7000,6000,6200,4300,4200,3300,4100,4000,3400,4600,5400,5600,5100,4700,5500,5100,3700,3500,5700,4700,6500,4000,4200,4900,5200,5300,5300,6300,5500,7900,6600,5200,6200,6000,6000,5300,6000,5300,6.880495,5.3571429,
Finance et assurances,3600,5300,5300,4700,4800,4800,4800,3700,3900,4400,4000,4300,4700,4800,5200,5000,5600,5000,5200,4800,4700,5000,4300,4500,4500,4500,4400,3800,4200,4000,3800,3300,3400,3200,3500,4400,4100,4200,5000,4700,4600,4800,5100,5200,4800,5400,6000,6200,6700,4800,5400,5400,5700,5700,5300,4900,4700,4900,3800,3700,3700,3600,-7.44384,0,
"Services professionnels, scientifiques et techniques",11100,10500,10400,10000,10500,10200,10000,10200,9200,8800,8500,8800,8000,8000,8500,8600,9000,9200,10500,10400,10200,11300,10900,11100,10000,10000,10300,10700,10500,10300,9300,9800,9300,8400,8400,9200,8900,8100.0005,8200,8900,8400,8900,9700,10100,10300,10300,10000,10400,11000,10600,9800,9900,10100,10400,10600,10000,11200,11700,11200,11000,11300,11100,1.117596,1.7699115,
Services d'enseignement,17700,15700,15500,15500,16100,16000,15100,12300,12600,16100,16600,16900,16700,16299.999,16200.001,16400,16299.999,16500,16299.999,13600,13200,14900,15700,16000,15900,15700,16000,16400,15600,15500,16200.001,12800,13100,17600,17300,17400,16200.001,18100,17600,17500,17000,17700,14500,11800,12300,17200,17000,17700,17500,17400,15500,16000,16700,15900,15900,14000,13700,18600,19400,19600,19800,17700,2.427064,4.3243241,
"Information, culture et loisirs",5800,7300,7100,7000,5900,5400,6200,6400,6600,5600,6100,5600,6200,6000,6300,5700,6100,6200,7200,8700,8900,7300,7000,6600,7100,7300,7300,6700,6600,5900,7500,9500,9800,7400,7400,5900,5900,5900,5900,4300,3800,3900,5200,8000,8400,6300,5600,6800,6200,6700,4800,6300,4300,7300,7300,8800,8800,6400,7100,7200,7500,5800,-4.496118,14.705882,
