Occupation,"Employment <br><i style=""font-size:80%;"">May 2024</i>","Median Income <br><i style=""font-size:80%;"">2021</i>"
"Professional occupations in advertising, marketing and public relations ^NOC 11202^",259700.0,50800.0
"Information systems specialists ^<span style=""text-decoration: underline;"">[NOC 21222](https://etalentcanada.ca/careers/information-systems-specialists)</span>^",233300.0,83000.0
Other customer and information services representatives ^NOC 64409^,184600.0,34000.0
"Software developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21232](https://etalentcanada.ca/careers/software-developers-and-programmers)</span>^",182600.0,81000.0
"Computer and information systems managers ^<span style=""text-decoration: underline;"">[NOC 20012](https://etalentcanada.ca/careers/computer-and-information-systems-managers)</span>^",144900.0,112000.0
"Software engineers and designers ^<span style=""text-decoration: underline;"">[NOC 21231](https://etalentcanada.ca/careers/software-engineers-and-designers)</span>^",137700.0,95000.0
"User support technicians ^<span style=""text-decoration: underline;"">[NOC 22221](https://etalentcanada.ca/careers/user-support-technicians)</span>^",129500.0,54400.0
Electricians (except industrial and power system) ^NOC 72200^,122700.0,53200.0
"Graphic designers and illustrators ^<span style=""text-decoration: underline;"">[NOC 52120](https://etalentcanada.ca/careers/graphic-designers-and-illustrators)</span>^",77100.0,40800.0
"Advertising, marketing and public relations managers ^NOC 10022^",61700.0,75000.0
