Secteur,"Emploi <br><i style=""font-size:80%;"">Septembre 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,247000.0,177.9,160.6,155.5,150.1,160.0,170.5,161.9,162.7,190.7,204.2,215.2,192.0,182.0,189.0,190.5,148.8,179.0,191.7,187.3,189.2,196.3,222.3,225.6,221.2,224.1,219.8,221.9,222.4,221.6,226.6,225.5,228.8,238.7,246.4,245.0,244.7,240.6,236.9,242.3,225.8,238.1,235.0,236.2,245.0,250.6,253.7,249.4,245.8,239.5,244.6,248.1,249.5,236.7,236.9,245.8,247.7,254.6,254.6,260.6,247.0,6.783512191552266,4.448742746615086
Construction,335300.0,300.2,292.5,269.4,257.2,267.8,267.9,276.5,292.3,299.9,302.5,302.5,304.9,301.7,291.3,277.5,252.3,266.2,270.9,272.5,302.3,308.3,321.9,312.0,310.6,318.9,316.9,304.2,290.1,299.8,294.2,302.1,324.1,335.0,330.2,337.2,338.1,341.5,330.7,320.6,287.2,301.1,309.7,322.2,336.5,338.2,348.2,345.5,354.4,351.6,344.5,324.6,310.8,307.1,309.5,319.9,316.7,324.0,339.1,342.5,335.3,2.236170387626024,4.879432624113466
L'économie numérique,534600.0,476.7000000000001,482.8999999999999,475.4,466.5,444.7000000000001,423.4000000000001,436.1,452.2000000000001,457.2000000000001,462.1,472.5,476.7000000000001,469.4,513.5,489.5,502.6,510.7999999999999,512.5,518.3999999999999,530.7,542.7,533.5,519.5,496.9,476.7000000000001,477.6,480.3,483.9,494.1,500.5,509.30000000000007,505.6,517.3,536.1,533.3000000000001,503.9,519.7,548.4,529.3,505.9999999999999,519.0,525.7,520.0,508.3,501.4,524.4000000000001,529.5,547.9,539.4000000000001,513.0999999999999,528.9000000000001,498.8,515.1,497.5,511.7000000000001,541.2,525.7,540.0,532.8,534.6,2.3191115609661805,3.2923299565846498
Services d'enseignement,389800.0,356.6,365.8,359.1,347.5,370.5,369.7,377.4,371.6,372.3,295.2,293.0,348.6,362.4,360.5,361.2,356.7,361.5,372.1,361.4,361.1,353.1,278.9,274.0,329.8,337.5,342.8,341.0,349.1,356.3,348.6,354.1,350.4,343.1,275.4,279.3,355.4,359.7,370.1,360.5,370.6,366.6,374.2,359.2,362.8,350.3,280.9,284.9,360.7,372.6,382.6,376.8,379.1,389.9,386.1,388.8,396.7,382.6,325.8,319.5,389.8,1.7963249031555106,2.5987006496751563
Soins de santé et assistance sociale,678500.0,584.5,584.6,571.3,565.5,565.0,572.8,582.1,581.9,590.0,597.2,584.7,585.2,587.9,591.1,581.7,588.5,585.8,596.6,581.8,596.6,609.3,610.1,617.5,614.6,624.7,616.9,601.7,610.8,606.5,601.7,600.3,596.7,606.4,620.0,628.4,613.1,618.6,621.2,631.1,624.0,629.3,633.8,641.6,655.4,656.4,663.5,681.8,670.3,674.9,681.2,683.9,668.9,670.3,676.2,670.4,675.8,689.1,680.6,678.9,678.5,3.027477619886576,1.093294460641403
Fabrication,501200.0,475.3,480.8,478.3,476.2,488.6,485.3,476.8,485.1,492.3,483.4,474.6,492.7,484.3,492.8,492.9,487.8,493.1,491.7,498.8,500.0,505.2,510.4,501.7,487.7,485.8,491.5,498.6,489.2,491.6,500.3,503.4,516.3,531.4,530.5,506.2,509.5,492.0,498.9,498.7,497.6,488.5,481.9,486.4,502.1,512.0,518.7,515.7,503.3,504.7,507.0,499.9,504.7,501.1,498.8,493.3,495.1,514.3,512.5,514.0,501.2,1.0668312809910985,2.4333268444617584
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",,29.2,21.8,24.1,21.6,22.3,22.2,22.6,27.2,23.2,22.3,23.5,22.7,23.4,22.1,22.7,24.6,28.9,32.0,33.3,35.3,33.2,35.7,36.2,33.7,31.3,31.8,29.0,28.0,27.7,25.5,24.5,26.8,26.5,27.2,30.9,26.8,27.7,22.4,23.3,24.5,26.8,24.5,25.4,26.5,27.2,26.0,24.0,25.0,23.3,22.8,22.9,20.3,23.0,21.2,20.6,19.9,22.7,26.2,31.5,,,
Autres services,,151.3,151.1,148.0,136.0,148.8,147.0,146.7,154.4,162.0,170.8,164.6,161.6,170.1,169.3,164.3,162.2,164.2,164.9,170.8,161.5,155.6,155.4,156.3,158.2,161.3,163.1,168.0,172.4,182.4,182.5,183.4,182.7,176.0,177.3,183.8,180.3,179.2,179.2,181.1,174.7,182.4,184.8,180.4,182.5,181.2,185.7,176.8,175.9,174.3,180.8,174.3,175.9,170.6,177.4,176.1,179.8,178.4,167.2,163.7,,,
"Services professionnels, scientifiques et techniques",385300.0,345.0,352.5,359.7,351.3,343.9,342.2,351.0,360.6,367.9,370.4,365.0,361.4,370.8,376.2,371.0,360.1,369.6,356.5,369.1,378.4,391.9,383.9,381.0,376.1,377.5,377.5,373.1,376.3,367.2,380.0,376.4,383.3,381.9,374.0,388.3,378.3,376.0,377.7,385.3,378.4,386.4,384.2,385.0,378.8,382.4,391.2,389.6,383.4,394.6,393.1,397.3,383.5,386.1,394.5,387.7,393.0,399.0,396.0,386.5,385.3,2.2341481828806575,3.14228255404726
Ensemble des industries,4666600.0,4223.4,4206.0,4167.0,4003.3,4130.4,4159.5,4154.2,4256.0,4393.4,4356.3,4311.0,4327.3,4347.4,4365.7,4337.0,4194.3,4298.9,4322.5,4318.5,4438.5,4461.7,4457.8,4429.8,4432.9,4456.3,4456.6,4435.8,4424.7,4423.0,4444.7,4456.4,4555.6,4602.3,4590.0,4561.9,4578.6,4564.0,4543.2,4529.7,4461.4,4484.4,4488.3,4517.4,4595.5,4608.0,4583.9,4584.8,4612.7,4619.7,4626.0,4610.3,4551.1,4569.6,4578.9,4613.1,4670.4,4742.3,4685.2,4671.4,4666.6,2.0158546389904997,5.013332247755898
