Secteur,"Emploi <br><i style=""font-size:80%;"">Juillet 2024</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,8500.0,8.5,7.5,6.1,5.5,5.4,4.9,4.9,4.0,2.9,3.2,4.1,4.3,5.2,4.9,4.9,4.4,3.3,3.9,3.4,3.5,3.6,3.8,4.8,5.4,5.6,5.0,5.1,4.3,4.4,3.5,4.3,4.3,4.5,5.0,6.3,6.9,7.9,4.3,3.5,3.8,3.6,3.5,4.4,4.5,5.3,5.6,6.6,6.9,7.5,7.5,6.3,5.3,5.1,5.3,5.3,5.5,5.4,5.9,7.0,8.5,0.0,2.298850574712641
Construction,9400.0,7.3,7.4,7.6,7.0,6.9,6.4,6.0,5.8,5.1,6.6,7.6,7.2,7.0,6.4,5.8,5.8,5.8,5.6,5.3,5.7,5.4,5.5,5.7,6.0,5.7,6.0,6.3,6.2,6.5,6.6,6.6,6.6,6.5,7.6,7.8,8.1,7.7,6.9,7.6,7.3,6.8,6.1,6.3,6.7,6.6,7.3,7.6,8.4,8.9,8.6,8.3,8.2,7.8,7.1,6.9,7.3,7.7,8.4,9.7,9.4,5.186740786859767,7.843137254901955
Services d'enseignement,4900.0,3.8,5.3,5.5,5.7,5.8,6.0,6.1,5.6,5.5,5.7,5.7,4.4,4.4,6.0,6.0,6.2,6.6,6.6,6.6,6.6,6.6,6.8,7.0,5.0,5.0,6.1,6.0,5.9,6.2,5.9,6.0,5.9,6.0,6.2,6.4,4.5,4.9,5.9,6.0,6.3,6.6,6.5,6.6,7.0,7.3,6.6,6.2,4.2,4.6,6.4,7.0,7.2,7.4,7.3,7.1,7.3,7.1,7.2,7.0,4.9,5.216171888497745,18.333333333333325
Soins de santé et assistance sociale,14100.0,11.0,10.9,11.1,10.9,11.1,10.9,10.9,10.5,9.6,10.3,10.8,11.2,10.9,10.4,10.3,10.5,10.8,10.6,10.6,10.4,10.3,11.3,11.8,12.3,11.9,11.6,11.3,11.5,11.9,11.5,11.6,11.5,11.3,11.9,12.6,12.0,12.4,12.0,12.6,12.5,12.4,12.9,13.4,14.1,13.7,14.5,14.3,14.6,14.3,14.6,14.0,14.6,14.1,13.6,14.3,14.0,13.8,13.3,13.3,14.1,5.090942138987997,0.0
Fabrication,7800.0,7.0,6.7,6.4,6.1,6.2,5.9,6.2,6.0,5.7,6.3,6.8,6.9,7.1,7.5,7.3,6.8,6.7,6.6,6.8,6.5,6.1,7.4,6.9,6.7,6.7,7.0,7.6,8.7,8.5,7.6,7.7,7.9,8.2,9.1,9.2,8.5,9.6,9.0,9.7,7.4,8.2,7.3,8.0,7.7,8.0,9.1,8.8,7.9,9.0,8.3,7.5,7.7,7.8,7.7,7.7,7.3,7.5,7.8,7.8,7.8,2.1878619308387304,3.703703703703698
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",,0.5,0.4,0.4,0.2,0.3,0.4,0.4,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.3,0.8,0.5,0.6,0.4,0.4,0.2,0.0,0.2,0.4,0.3,0.3,0.0,0.3,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.4,0.4,0.3,0.0,0.2,0.2,0.2,0.0,0.0,,,
Autres services,4100.0,3.0,3.1,3.2,3.4,3.4,3.5,3.3,3.3,3.0,3.0,3.5,3.4,3.1,2.9,2.7,2.5,2.3,2.1,2.3,2.5,3.1,3.4,3.4,3.5,3.7,3.5,3.5,3.7,3.7,3.6,4.0,3.8,3.4,3.6,3.5,3.4,3.3,3.4,3.6,3.7,3.7,3.1,3.6,3.4,4.0,3.8,3.9,4.0,3.7,3.8,4.2,4.3,4.0,3.5,3.6,3.7,3.1,3.6,4.2,4.1,6.446777983653984,0.0
"Services professionnels, scientifiques et techniques",5000.0,3.9,3.6,3.7,4.1,4.1,4.2,4.0,4.2,3.7,3.6,4.1,4.1,4.6,4.1,4.5,4.3,3.9,3.9,3.9,4.2,4.3,4.3,4.3,4.2,4.3,4.3,4.2,4.1,4.5,4.7,5.2,5.3,5.3,4.7,5.2,5.1,4.7,4.7,4.7,4.5,4.5,5.0,4.4,4.3,4.3,5.1,4.5,4.8,5.0,4.6,4.5,4.3,5.0,4.9,5.0,5.1,5.1,5.0,5.0,5.0,5.09476404473832,5.660377358490565
Ensemble des industries,96900.0,85.1,83.1,81.9,78.9,78.7,77.3,76.9,72.8,66.5,74.8,81.2,80.4,83.0,79.6,78.4,76.3,74.6,73.4,73.1,74.6,75.2,82.0,84.8,84.4,84.9,82.4,81.7,81.1,80.8,76.9,78.8,79.8,80.2,89.1,92.5,89.3,90.4,84.3,86.5,81.1,81.7,79.7,81.1,82.9,85.1,92.8,92.7,93.0,95.6,94.4,92.9,89.1,88.5,86.4,87.0,87.6,88.9,95.0,97.4,96.9,2.6310668437736773,7.977207977207968
Commerce de gros et de détail,11900.0,11.9,11.8,12.2,11.6,12.0,11.9,12.1,11.0,9.8,10.8,11.9,12.2,12.2,10.8,10.4,10.9,10.9,10.6,10.4,11.5,11.4,12.4,12.6,12.6,12.4,11.3,11.1,11.1,11.4,10.8,11.3,11.3,11.3,11.3,12.0,11.5,11.4,10.9,11.4,10.3,11.1,11.1,10.6,10.5,10.3,11.4,10.4,10.5,10.5,10.4,10.5,10.6,10.4,10.4,10.5,9.6,10.9,11.9,10.8,11.9,0.0,5.5555555555555465
