Occupation,"Employment <br><i style=""font-size:80%;"">June 2025</i>","Median Income <br><i style=""font-size:80%;"">2021</i>"
"Professional occupations in advertising, marketing and public relations ^NOC 11202^",46900.0,49600.0
"User support technicians ^<span style=""text-decoration: underline;"">[NOC 22221](https://etalentcanada.ca/careers/user-support-technicians)</span>^",40600.0,49200.0
"Information systems specialists ^<span style=""text-decoration: underline;"">[NOC 21222](https://etalentcanada.ca/careers/information-systems-specialists)</span>^",39500.0,81000.0
"Software developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21232](https://etalentcanada.ca/careers/software-developers-and-programmers)</span>^",38000.0,76500.0
"Computer and information systems managers ^<span style=""text-decoration: underline;"">[NOC 20012](https://etalentcanada.ca/careers/computer-and-information-systems-managers)</span>^",31700.0,104000.0
"Graphic designers and illustrators ^<span style=""text-decoration: underline;"">[NOC 52120](https://etalentcanada.ca/careers/graphic-designers-and-illustrators)</span>^",17600.0,39600.0
"Electrical and electronics engineers ^<span style=""text-decoration: underline;"">[NOC 21310](https://etalentcanada.ca/careers/electrical-and-electronics-engineers)</span>^",16600.0,92000.0
"Electrical and electronics engineering technologists and technicians ^<span style=""text-decoration: underline;"">[NOC 22310](https://etalentcanada.ca/careers/electrical-and-electronics-engineering-technologists-and-technicians)</span>^",16200.0,65000.0
"Computer network and web technicians ^<span style=""text-decoration: underline;"">[NOC 22220](https://etalentcanada.ca/careers/computer-network-and-web-technicians)</span>^",13600.0,59600.0
"Computer systems developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21230](https://etalentcanada.ca/careers/computer-systems-developers-and-programmers)</span>^",12900.0,68500.0
"Information systems testing technician ^<span style=""text-decoration: underline;"">[NOC 22222](https://etalentcanada.ca/careers/user-support-technicians)</span>^",10600.0,32400.0
"Engineering managers ^<span style=""text-decoration: underline;"">[NOC 20010](https://etalentcanada.ca/careers/engineering-managers)</span>^",9900.0,111000.0
"Computer engineers (except software engineers and designers) ^<span style=""text-decoration: underline;"">[NOC 21311](https://etalentcanada.ca/careers/computer-engineers-except-software-engineers-and-designers)</span>^",9900.0,97000.0
"Software engineers and designers ^<span style=""text-decoration: underline;"">[NOC 21231](https://etalentcanada.ca/careers/software-engineers-and-designers)</span>^",8900.0,88000.0
"Advertising, marketing and public relations managers ^NOC 10022^",8500.0,73000.0
"Data scientists ^<span style=""text-decoration: underline;"">[NOC 21211](https://etalentcanada.ca/careers/data-scientists)</span>^",8000.0,77000.0
Other professional engineers ^NOC 21399^,7400.0,74500.0
"Cybersecurity specialists ^<span style=""text-decoration: underline;"">[NOC 21220](https://etalentcanada.ca/careers/cybersecurity-specialists)</span>^",6900.0,89000.0
"Database analysts and data administrators ^<span style=""text-decoration: underline;"">[NOC 21223](https://etalentcanada.ca/careers/database-analysts-and-data-administrators)</span>^",6500.0,65000.0
"Graphic arts technicians ^<span style=""text-decoration: underline;"">[NOC 52111](https://etalentcanada.ca/careers/graphic-arts-technicians)</span>^",6500.0,46000.0
