Occupation,"Employment <br><i style=""font-size:80%;"">May 2025</i>","Median Income <br><i style=""font-size:80%;"">2021</i>"
"User support technicians ^<span style=""text-decoration: underline;"">[NOC 22221](https://etalentcanada.ca/careers/user-support-technicians)</span>^",1700.0,63200.0
"Professional occupations in advertising, marketing and public relations ^NOC 11202^",1600.0,48000.0
Other professional engineers ^NOC 21399^,1300.0,108000.0
"Software developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21232](https://etalentcanada.ca/careers/software-developers-and-programmers)</span>^",1000.0,75000.0
Industrial electricians ^NOC 72201^,900.0,111000.0
"Information systems specialists ^<span style=""text-decoration: underline;"">[NOC 21222](https://etalentcanada.ca/careers/information-systems-specialists)</span>^",700.0,82000.0
"Software engineers and designers ^<span style=""text-decoration: underline;"">[NOC 21231](https://etalentcanada.ca/careers/software-engineers-and-designers)</span>^",700.0,92000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Computer network and web technicians ^<span style=""text-decoration: underline;"">[NOC 22220](https://etalentcanada.ca/careers/computer-network-and-web-technicians)</span>^",700.0,65500.0
"Electrical and electronics engineering technologists and technicians ^<span style=""text-decoration: underline;"">[NOC 22310](https://etalentcanada.ca/careers/electrical-and-electronics-engineering-technologists-and-technicians)</span>^",700.0,76500.0
"<i style=""font-size:80%;""><sup>†</sup></i> Advertising, marketing and public relations managers ^NOC 10022^",600.0,69000.0
"Engineering managers ^<span style=""text-decoration: underline;"">[NOC 20010](https://etalentcanada.ca/careers/engineering-managers)</span>^",600.0,130000.0
"Web developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21234](https://etalentcanada.ca/careers/web-developers-and-programmers)</span>^",600.0,50800.0
"<i style=""font-size:80%;""><sup>†</sup></i> Computer and information systems managers ^<span style=""text-decoration: underline;"">[NOC 20012](https://etalentcanada.ca/careers/computer-and-information-systems-managers)</span>^",500.0,100000.0
"Electrical and electronics engineers ^<span style=""text-decoration: underline;"">[NOC 21310](https://etalentcanada.ca/careers/electrical-and-electronics-engineers)</span>^",500.0,106000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Graphic designers and illustrators ^<span style=""text-decoration: underline;"">[NOC 52120](https://etalentcanada.ca/careers/graphic-designers-and-illustrators)</span>^",400.0,36800.0
"<i style=""font-size:80%;""><sup>†</sup></i> Electrical power line and cable workers ^NOC 72203^",400.0,115000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Telecommunications equipment installation and cable television service technicians ^NOC 72205^ ",300.0,67000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Database analysts and data administrators ^<span style=""text-decoration: underline;"">[NOC 21223](https://etalentcanada.ca/careers/database-analysts-and-data-administrators)</span>^",200.0,79000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Computer systems developers and programmers ^<span style=""text-decoration: underline;"">[NOC 21230](https://etalentcanada.ca/careers/computer-systems-developers-and-programmers)</span>^",200.0,75000.0
"<i style=""font-size:80%;""><sup>†</sup></i> Health information management occupations ^<span style=""text-decoration: underline;"">[NOC 12111](https://etalentcanada.ca/careers/health-information-management-occupations)</span>^",100.0,54800.0
